,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,
,Gluconobacter oxydans 621H,0,0,NC_006677,YP_192725.1,TC-Lam,TC-Lam,0,215.3,1,249,0,0,0,
,Gluconobacter oxydans 621H,0,0,NC_006677,YP_192832.1,TC-HK97,TC-HK97,5.9,16.1,16,145,0,0,0,
,Xanthomonas oryzae pv. oryzae KACC 10331,0,0,NC_006834,YP_200341.1,TC-Mu,TC-Mu,2.50E-28,107.1,2,148,0,0,0,
,Neisseria gonorrhoeae FA 1090,0,0,NC_002946,YP_207651.1,TC-HK97,TC-HK97,0.71,19.1,2,99,0,0,0,
,Lactobacillus phage phiJL-1,Lactobacillus plantarum,pos,NC_006936,YP_223893.1,TC-HK97,TC-HK97,0.00000000079,47.9,13,123,0,1,1,
,Phage phiJL001,alpha proteobacterium JL001,neg,NC_006938,YP_224005.1,U_TC_Fam5,U_TC_Fam5,0.0011,27.1,21,139,1,1,1,
,Phage phiJL001,alpha proteobacterium JL001,neg,NC_006938,YP_224005.1,TC-T1,TC-T1,4.70E-16,67,1,141,1,1,1,
,Phage phiJL001,alpha proteobacterium JL001,neg,NC_006938,YP_224005.1,TC-T1,TC-T1,4.70E-16,67,1,141,1,0,1,
,Phage phiJL001,alpha proteobacterium JL001,neg,NC_006938,YP_224005.1,TC-HK97,TC-HK97,0.044,22.5,1,137,0,1,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,U_TC_Fam5,U_TC_Fam5,7.10E-18,73.4,1,41,1,1,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,U_TC_Fam5,U_TC_Fam5,7.10E-18,73.4,39,131,1,1,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,TC-T1,TC-T1,2.90E-40,145.5,1,131,1,1,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,TC-T1,TC-T1,2.90E-40,145.5,1,131,1,1,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,TC-Phi297,TC-Phi297,9.9,14.4,1,47,1,1,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,TC-Phi297,TC-Phi297,9.9,14.4,41,122,1,0,1,
,Salmonella phage SS3e,Salmonella enterica subsp. enterica serova,neg,NC_006940,YP_224022.1,TC-HK97,TC-HK97,0.00017,30.4,2,124,0,1,1,
,Enterobacteria phage ES18,Salmonella typhimurium,neg,NC_006949,YP_224152.1,U_TC_Fam7,U_TC_Fam7,6.31E-44,157.1,1,131,1,1,1,
,Enterobacteria phage ES18,Salmonella typhimurium,neg,NC_006949,YP_224152.1,U_TC_Fam7,U_TC_Fam7,6.31E-44,157.1,1,131,1,0,1,
,Enterobacteria phage ES18,Salmonella typhimurium,neg,NC_006949,YP_224152.1,TC-Phi297,TC-Phi297,2.00E-40,146.4,1,131,0,1,1,
,Listonella phage phiHSIC,Listonella pelagia,neg,NC_006953,YP_224253.1,U_TC_Fam5,U_TC_Fam5,0,57.6,8,58,1,1,1,
,Listonella phage phiHSIC,Listonella pelagia,neg,NC_006953,YP_224253.1,U_TC_Fam5,U_TC_Fam5,0,57.6,56,151,1,1,1,
,Listonella phage phiHSIC,Listonella pelagia,neg,NC_006953,YP_224253.1,TC-T1,TC-T1,2.10E-33,123.3,1,152,1,0,1,
,Listonella phage phiHSIC,Listonella pelagia,neg,NC_006953,YP_224253.1,TC-T1,TC-T1,2.10E-33,123.3,1,152,0,1,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_234470.1,TC-BCereusAH820,TC-BCereusAH820,7.7,14.6,22,118,1,0,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_234470.1,TC-BCereusAH820,TC-BCereusAH820,7.7,14.6,22,118,0,1,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_235862.1,TC-HK97,TC-HK97,0.1,21.3,124,214,1,1,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_235862.1,U_TC_Fam5,U_TC_Fam5,1.60E-28,108.1,6,217,1,1,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_235862.1,TC-T1,TC-T1,5.47E-44,157.6,1,218,1,1,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_235862.1,TC-T1,TC-T1,5.47E-44,157.6,1,218,1,1,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_235862.1,TC-Phi297,TC-Phi297,0.028,22.6,9,208,1,0,1,
,Pseudomonas syringae pv. syringae B728a,0,0,NC_007005,YP_235862.1,TC-HK97,TC-HK97,0.1,21.3,1,126,0,0,0,
,Streptococcus phage 2972,Streptococcus thermophilus,pos,NC_007019,YP_238496.1,TC-HK97,TC-HK97,0,54,7,106,0,0,0,
,Staphylococcus phage 187,0,pos,NC_007047,YP_239497.1,TC-HK97,TC-HK97,0.00000000022,49.6,7,108,0,0,0,
,Staphylococcus phage 69,Staphylococcus aureus,pos,NC_007048,YP_239574.1,TC-HK97,TC-HK97,0,56.8,7,108,0,0,0,
,Staphylococcus phage 53,Staphylococcus aureus,pos,NC_007049,YP_239651.1,TC-HK97,TC-HK97,0,56.8,7,108,0,0,0,
,Staphylococcus phage 85,Staphylococcus aureus,pos,NC_007050,YP_239729.1,TC-HK97,TC-HK97,0,56.8,7,108,0,1,1,
,Staphylococcus phage 2638A,Staphylococcus aureus,pos,NC_007051,YP_239805.1,TC-ListeriaB025,TC-ListeriaB025,3.80E-33,122.5,4,133,1,0,1,
,Staphylococcus phage 2638A,Staphylococcus aureus,pos,NC_007051,YP_239805.1,TC-HK97,TC-HK97,4.1,16.6,8,123,0,0,0,
,Staphylococcus phage 42E,Staphylococcus aureus,pos,NC_007052,YP_239864.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,0,0,
,Staphylococcus phage 3A,Staphylococcus aureus,pos,NC_007053,YP_239942.1,TC-ListeriaB025,TC-ListeriaB025,0,214.1,1,133,0,0,0,
,Staphylococcus phage 47,Staphylococcus aureus,pos,NC_007054,YP_240010.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,0,0,
,Staphylococcus phage 37,Staphylococcus aureus,pos,NC_007055,YP_240082.1,TC-HK97,TC-HK97,2.10E-16,69,9,134,0,1,1,
,Staphylococcus phage EW,Staphylococcus aureus,pos,NC_007056,YP_240161.1,U_TC_Fam7,U_TC_Fam7,0.042,22.1,1,128,1,1,1,
,Staphylococcus phage EW,Staphylococcus aureus,pos,NC_007056,YP_240161.1,TC-HK97,TC-HK97,8.90E-17,70.2,9,132,1,1,1,
,Staphylococcus phage EW,Staphylococcus aureus,pos,NC_007056,YP_240161.1,TC-T1,TC-T1,0.14,20.2,1,86,1,1,1,
,Staphylococcus phage EW,Staphylococcus aureus,pos,NC_007056,YP_240161.1,U_TC_Fam7,U_TC_Fam7,0.042,22.1,1,128,1,0,1,
,Staphylococcus phage EW,Staphylococcus aureus,pos,NC_007056,YP_240161.1,TC-T1,TC-T1,0.14,20.2,1,86,0,0,0,
,Staphylococcus phage 96,Staphylococcus aureus,pos,NC_007057,YP_240238.1,TC-HK97,TC-HK97,2.00E-16,69.1,21,146,0,1,1,
,Staphylococcus phage 71,Staphylococcus aureus,pos,NC_007059,YP_240389.1,TC-HK97,TC-HK97,2.30E-16,68.9,9,134,1,1,1,
,Staphylococcus phage 71,Staphylococcus aureus,pos,NC_007059,YP_240389.1,TC-T1,TC-T1,0.44,18.5,1,80,1,1,1,
,Staphylococcus phage 71,Staphylococcus aureus,pos,NC_007059,YP_240389.1,U_TC_Fam7,U_TC_Fam7,4.8,15.5,8,136,1,1,1,
,Staphylococcus phage 71,Staphylococcus aureus,pos,NC_007059,YP_240389.1,TC-T1,TC-T1,0.44,18.5,1,80,1,0,1,
,Staphylococcus phage 71,Staphylococcus aureus,pos,NC_007059,YP_240389.1,U_TC_Fam7,U_TC_Fam7,4.8,15.5,8,136,0,1,1,
,Staphylococcus phage 55,Staphylococcus aureus,pos,NC_007060,YP_240463.1,TC-HK97,TC-HK97,5.40E-16,67.7,9,134,1,1,1,
,Staphylococcus phage 55,Staphylococcus aureus,pos,NC_007060,YP_240463.1,TC-T1,TC-T1,0.36,18.8,1,79,1,1,1,
,Staphylococcus phage 55,Staphylococcus aureus,pos,NC_007060,YP_240463.1,U_TC_Fam7,U_TC_Fam7,2.6,16.3,8,136,1,1,1,
,Staphylococcus phage 55,Staphylococcus aureus,pos,NC_007060,YP_240463.1,TC-T1,TC-T1,0.36,18.8,1,79,1,0,1,
,Staphylococcus phage 55,Staphylococcus aureus,pos,NC_007060,YP_240463.1,U_TC_Fam7,U_TC_Fam7,2.6,16.3,8,136,0,1,1,
,Staphylococcus phage 29,Staphylococcus aureus,pos,NC_007061,YP_240540.1,TC-HK97,TC-HK97,0,66.1,9,134,1,1,1,
,Staphylococcus phage 29,Staphylococcus aureus,pos,NC_007061,YP_240540.1,TC-T1,TC-T1,0.22,19.5,1,80,1,1,1,
,Staphylococcus phage 29,Staphylococcus aureus,pos,NC_007061,YP_240540.1,U_TC_Fam7,U_TC_Fam7,3.8,15.8,5,134,1,1,1,
,Staphylococcus phage 29,Staphylococcus aureus,pos,NC_007061,YP_240540.1,TC-T1,TC-T1,0.22,19.5,1,80,1,0,1,
,Staphylococcus phage 29,Staphylococcus aureus,pos,NC_007061,YP_240540.1,U_TC_Fam7,U_TC_Fam7,3.8,15.8,5,134,0,1,1,
,Staphylococcus phage 52A,Staphylococcus aureus,pos,NC_007062,YP_240615.1,TC-HK97,TC-HK97,0,60.4,1,113,1,1,1,
,Staphylococcus phage 52A,Staphylococcus aureus,pos,NC_007062,YP_240615.1,U_TC_Fam7,U_TC_Fam7,4.7,15.5,1,115,1,0,1,
,Staphylococcus phage 52A,Staphylococcus aureus,pos,NC_007062,YP_240615.1,U_TC_Fam7,U_TC_Fam7,4.7,15.5,1,115,0,1,1,
,Staphylococcus phage 88,Staphylococcus aureus,pos,NC_007063,YP_240680.1,TC-HK97,TC-HK97,5.40E-16,67.7,9,134,1,1,1,
,Staphylococcus phage 88,Staphylococcus aureus,pos,NC_007063,YP_240680.1,TC-T1,TC-T1,0.36,18.8,1,79,1,1,1,
,Staphylococcus phage 88,Staphylococcus aureus,pos,NC_007063,YP_240680.1,U_TC_Fam7,U_TC_Fam7,2.6,16.3,8,136,1,1,1,
,Staphylococcus phage 88,Staphylococcus aureus,pos,NC_007063,YP_240680.1,TC-T1,TC-T1,0.36,18.8,1,79,1,0,1,
,Staphylococcus phage 88,Staphylococcus aureus,pos,NC_007063,YP_240680.1,U_TC_Fam7,U_TC_Fam7,2.6,16.3,8,136,0,1,1,
,Staphylococcus phage 92,Staphylococcus aureus,pos,NC_007064,YP_240753.1,TC-HK97,TC-HK97,5.40E-16,67.7,9,134,1,1,1,
,Staphylococcus phage 92,Staphylococcus aureus,pos,NC_007064,YP_240753.1,TC-T1,TC-T1,0.36,18.8,1,79,1,1,1,
,Staphylococcus phage 92,Staphylococcus aureus,pos,NC_007064,YP_240753.1,U_TC_Fam7,U_TC_Fam7,2.6,16.3,8,136,1,1,1,
,Staphylococcus phage 92,Staphylococcus aureus,pos,NC_007064,YP_240753.1,TC-T1,TC-T1,0.36,18.8,1,79,1,0,1,
,Staphylococcus phage 92,Staphylococcus aureus,pos,NC_007064,YP_240753.1,U_TC_Fam7,U_TC_Fam7,2.6,16.3,8,136,0,1,1,
,Staphylococcus phage X2,Staphylococcus aureus,pos,NC_007065,YP_240827.1,U_TC_Fam7,U_TC_Fam7,4.7,15.5,1,115,1,1,1,
,Staphylococcus phage X2,Staphylococcus aureus,pos,NC_007065,YP_240827.1,TC-HK97,TC-HK97,0,60.4,1,113,1,0,1,
,Staphylococcus phage X2,Staphylococcus aureus,pos,NC_007065,YP_240827.1,U_TC_Fam7,U_TC_Fam7,4.7,15.5,1,115,0,0,0,
,Haemophilus influenzae 86-028NP,0,0,NC_007146,YP_249003.1,TC-HK97,TC-HK97,0.082,22.1,1,80,0,0,0,
,Haemophilus influenzae 86-028NP,0,0,NC_007146,YP_249292.1,TC-Mu,TC-Mu,0.000017,33.1,9,56,0,0,0,
,Haemophilus influenzae 86-028NP,0,0,NC_007146,YP_249294.1,TC-Mu,TC-Mu,1.70E-33,123.9,2,151,0,1,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_253684.1,TC-ListeriaB025,TC-ListeriaB025,1.30E-35,130.4,7,140,1,1,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_253684.1,TC-HK97,TC-HK97,1.4,18.2,15,138,1,1,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_253684.1,TC-phiC2,TC-phiC2,3.1,15.7,9,69,1,0,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_253684.1,TC-phiC2,TC-phiC2,3.1,15.7,58,140,0,1,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_254265.1,TC-HK97,TC-HK97,6.60E-18,73.8,9,134,1,1,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_254265.1,U_TC_Fam7,U_TC_Fam7,8.6,14.6,2,132,1,0,1,
,Staphylococcus haemolyticus JCSC1435,0,0,NC_007168,YP_254265.1,U_TC_Fam7,U_TC_Fam7,8.6,14.6,2,132,0,1,1,
,Pseudomonas protegens Pf-5,0,0,NC_004129,YP_260858.1,TC-HK97,TC-HK97,0.00069,28.4,122,213,1,1,1,
,Pseudomonas protegens Pf-5,0,0,NC_004129,YP_260858.1,U_TC_Fam5,U_TC_Fam5,8.50E-36,131.9,5,216,1,1,1,
,Pseudomonas protegens Pf-5,0,0,NC_004129,YP_260858.1,TC-T1,TC-T1,7.01E-45,160.5,1,217,1,1,1,
,Pseudomonas protegens Pf-5,0,0,NC_004129,YP_260858.1,TC-T1,TC-T1,7.01E-45,160.5,1,217,1,1,1,
,Pseudomonas protegens Pf-5,0,0,NC_004129,YP_260858.1,TC-Phi297,TC-Phi297,0.0000012,36.8,8,207,1,0,1,
,Pseudomonas protegens Pf-5,0,0,NC_004129,YP_260858.1,TC-HK97,TC-HK97,0.00069,28.4,3,108,0,0,0,
,Psychrobacter arcticus 273-4,0,0,NC_007204,YP_263755.1,TC-HK97,TC-HK97,0,66.6,16,139,0,0,0,
,Psychrobacter arcticus 273-4,0,0,NC_007204,YP_264296.1,TC-Mu,TC-Mu,0.0043,25.3,13,135,0,1,1,
,Pseudomonas syringae pv. phaseolicola 1448A,0,0,NC_005773,YP_275940.1,TC-BCereusAH820,TC-BCereusAH820,3.6,15.7,22,118,1,0,1,
,Pseudomonas syringae pv. phaseolicola 1448A,0,0,NC_005773,YP_275940.1,TC-BCereusAH820,TC-BCereusAH820,3.6,15.7,22,118,0,1,1,
,Pseudomonas syringae pv. phaseolicola 1448A,0,0,NC_005773,YP_277051.1,TC-Mu,TC-Mu,0.00035,28.8,7,138,1,0,1,
,Pseudomonas syringae pv. phaseolicola 1448A,0,0,NC_005773,YP_277051.1,TC-Mu,TC-Mu,0.00035,28.8,180,217,0,1,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,TC-HK97,TC-HK97,0.0059,25.3,20,134,1,1,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,U_TC_Fam5,U_TC_Fam5,5.60E-17,70.5,1,46,1,1,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,U_TC_Fam5,U_TC_Fam5,5.60E-17,70.5,45,140,1,1,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,TC-T1,TC-T1,5.90E-35,128.3,1,140,1,1,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,TC-T1,TC-T1,5.90E-35,128.3,1,140,1,1,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,TC-Phi297,TC-Phi297,2.2,16.5,5,51,1,0,1,
,Enterobacteria phage JK06,Escherichia coli O157:H7,neg,NC_007291,YP_277459.1,TC-Phi297,TC-Phi297,2.2,16.5,56,130,0,0,0,
,Mycoplasma hyopneumoniae J,0,0,NC_007295,YP_279408.1,TC-IEBH,TC-IEBH,3.4,16,395,502,0,0,0,
,Streptococcus pyogenes MGAS6180,0,0,NC_007296,YP_280453.1,TC-HK97,TC-HK97,0.00000000047,48.6,16,114,0,0,0,
,Streptococcus pyogenes MGAS6180,0,0,NC_007296,YP_280706.1,TC-BCJA1C,TC-BCJA1C,0,163.3,1,116,0,1,1,
,Streptococcus pyogenes MGAS5005,0,0,NC_007297,YP_282794.1,TC-Che12,TC-Che12,1.3,17.7,1,75,1,0,1,
,Streptococcus pyogenes MGAS5005,0,0,NC_007297,YP_282794.1,TC-HK97,TC-HK97,0,57.7,4,99,0,0,0,
,Burkholderia phage phi52237,Burkholderia pseudomallei,neg,NC_007145,YP_293738.1,TC-Mu,TC-Mu,1.20E-20,82.3,92,243,0,0,0,
,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,0,0,NC_007350,YP_302482.1,TC-IEBH,TC-IEBH,7.5,14.9,6,109,0,1,1,
,Shigella sonnei Ss046,0,0,NC_007384,YP_311298.1,TC-Lam,TC-Lam,0.6,18,84,190,1,0,1,
,Shigella sonnei Ss046,0,0,NC_007384,YP_311298.1,TC-Lam,TC-Lam,0.6,18,1,139,0,0,0,
,Nitrobacter winogradskyi Nb-255,0,0,NC_007406,YP_317419.1,TC-TPSY,TC-TPSY,0,302,15,225,0,1,1,
,Nitrobacter winogradskyi Nb-255,0,0,NC_007406,YP_318090.1,TC-HK97,TC-HK97,1.90E-18,75.5,9,125,1,0,1,
,Nitrobacter winogradskyi Nb-255,0,0,NC_007406,YP_318090.1,TC-ListeriaB025,TC-ListeriaB025,0.45,18.7,7,109,0,1,1,
,Nitrobacter winogradskyi Nb-255,0,0,NC_007406,YP_318234.1,TC-HK97,TC-HK97,1.90E-18,75.5,9,125,1,0,1,
,Nitrobacter winogradskyi Nb-255,0,0,NC_007406,YP_318234.1,TC-ListeriaB025,TC-ListeriaB025,0.45,18.7,7,109,0,0,0,
,Nitrobacter winogradskyi Nb-255,0,0,NC_007406,YP_319434.1,TC-TPSY,TC-TPSY,0,291.8,1,207,0,0,0,
,Anabaena variabilis ATCC 29413,0,0,NC_007413,YP_324708.1,TC-phiC2,TC-phiC2,4,15.3,281,376,0,1,1,
,Streptococcus agalactiae A909,0,0,NC_007432,YP_329378.1,TC-JCL103,TC-JCL103,6.40E-39,141.3,1,122,1,1,1,
,Streptococcus agalactiae A909,0,0,NC_007432,YP_329378.1,TC-T1,TC-T1,3.3,15.7,7,84,1,0,1,
,Streptococcus agalactiae A909,0,0,NC_007432,YP_329378.1,TC-T1,TC-T1,3.3,15.7,7,84,0,0,0,
,Bacillus phage Cherry,Bacillus anthracis str. Vollum,pos,NC_007457,YP_338140.1,TC-HK97,TC-HK97,0,62,13,132,0,0,0,
,Bacillus phage Gamma,Bacillus cereus,pos,NC_007458,YP_338191.1,TC-HK97,TC-HK97,0,62,13,132,0,0,0,
,Pseudomonas fluorescens Pf0-1,0,0,NC_007492,YP_349214.1,TC-HK97,TC-HK97,7.4,15.8,7,77,0,0,0,
,Burkholderia phage Bcep176,Burkholderia cepacia,neg,NC_007497,YP_355408.1,TC-HK97,TC-HK97,7.30E-23,89.8,10,122,0,0,0,
,Lactobacillus phage Lc-Nu,Lactobacillus rhamnosus,pos,NC_007501,YP_358767.1,TC-HK97,TC-HK97,0,55.1,8,120,0,1,1,
,Carboxydothermus hydrogenoformans Z-2901,0,0,NC_007503,YP_360487.1,U_TC_Fam7,U_TC_Fam7,0.4,18.9,10,124,1,0,1,
,Carboxydothermus hydrogenoformans Z-2901,0,0,NC_007503,YP_360487.1,U_TC_Fam7,U_TC_Fam7,0.4,18.9,10,124,0,0,0,
,Xanthomonas campestris pv. vesicatoria str. 85-10,0,0,NC_007508,YP_365638.1,TC-Mu,TC-Mu,3.60E-29,109.9,2,148,0,0,0,
,Chlorobium luteolum DSM 273,0,0,NC_007512,YP_374821.1,U_TC_Fam5,U_TC_Fam5,2.3,16.3,68,250,0,0,0,
,Desulfovibrio alaskensis G20,0,0,NC_007519,YP_387424.1,TC-HK97,TC-HK97,0.018,24.2,8,151,0,0,0,
,Desulfovibrio alaskensis G20,0,0,NC_007519,YP_388391.2,TC-HK97,TC-HK97,0.11,21.7,10,151,0,1,1,
,Desulfovibrio alaskensis G20,0,0,NC_007519,YP_389868.1,TC-Mu,TC-Mu,0,51.7,12,119,1,0,1,
,Desulfovibrio alaskensis G20,0,0,NC_007519,YP_389868.1,TC-Mu,TC-Mu,0,51.7,121,157,0,1,1,
,Enterobacteria phage RTP,Escherichia coli,neg,NC_007603,YP_398975.1,TC-HK97,TC-HK97,0.000000072,41.3,4,139,1,1,1,
,Enterobacteria phage RTP,Escherichia coli,neg,NC_007603,YP_398975.1,TC-HK97,TC-HK97,2.8,17.2,13,145,1,1,1,
,Enterobacteria phage RTP,Escherichia coli,neg,NC_007603,YP_398975.1,U_TC_Fam5,U_TC_Fam5,0,64.7,5,50,1,1,1,
,Enterobacteria phage RTP,Escherichia coli,neg,NC_007603,YP_398975.1,U_TC_Fam5,U_TC_Fam5,0,64.7,47,143,1,1,1,
,Enterobacteria phage RTP,Escherichia coli,neg,NC_007603,YP_398975.1,TC-T1,TC-T1,1.10E-34,127.4,1,143,1,0,1,
,Enterobacteria phage RTP,Escherichia coli,neg,NC_007603,YP_398975.1,TC-T1,TC-T1,1.10E-34,127.4,1,143,0,0,0,
,Synechococcus elongatus PCC 7942,0,0,NC_007604,YP_399031.1,TC-Lam,TC-Lam,7.3,14.5,13,99,0,0,0,
,Shigella boydii Sb227,0,0,NC_007613,YP_407270.1,TC-Mu,TC-Mu,1.60E-31,117.5,2,147,0,1,1,
,Shigella boydii Sb227,0,0,NC_007613,YP_407850.1,TC-Mu,TC-Mu,7.90E-18,73.1,3,94,1,0,1,
,Shigella boydii Sb227,0,0,NC_007613,YP_407850.1,TC-Mu,TC-Mu,7.90E-18,73.1,114,207,0,1,1,
,Shigella boydii Sb227,0,0,NC_007613,YP_408072.1,TC-Lam,TC-Lam,2.5,16,161,193,1,0,1,
,Shigella boydii Sb227,0,0,NC_007613,YP_408072.1,TC-Lam,TC-Lam,2.5,16,1,91,0,0,0,
,Staphylococcus aureus RF122,Bos taurus (cow),0,NC_007622,YP_417180.1,TC-HK97,TC-HK97,0,52.1,7,108,0,1,1,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_419742.1,TC-Lam,TC-Lam,3,15.7,1,210,1,0,1,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_419742.1,TC-TPSY,TC-TPSY,0,308.7,1,212,0,0,0,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_420526.1,TC-TPSY,TC-TPSY,3.2,15.6,1,88,0,1,1,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_420539.1,TC-TPSY,TC-TPSY,0,310.1,1,212,1,0,1,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_420539.1,TC-Lam,TC-Lam,5.4,14.9,65,210,0,1,1,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_421134.1,TC-Mu,TC-Mu,0.00058,28.1,160,199,1,0,1,
,Magnetospirillum magneticum AMB-1,0,0,NC_007626,YP_421134.1,TC-Mu,TC-Mu,0.00058,28.1,10,149,0,1,1,
,Moorella thermoacetica ATCC 39073,0,0,NC_007644,YP_429591.1,TC-JCL103,TC-JCL103,6.80E+00,15.1,7,204,1,0,1,
,Moorella thermoacetica ATCC 39073,0,0,NC_007644,YP_429591.1,TC-JCL103,TC-JCL103,6.80E+00,15.1,158,219,0,0,0,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_431726.1,TC-Mu,TC-Mu,0.0013,27,12,136,0,0,0,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_434100.1,TC-Lam,TC-Lam,0.0022,26,1,188,0,1,1,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_435675.1,TC-JCL103,TC-JCL103,4.4,15.8,2,111,1,1,1,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_435675.1,TC-HK97,TC-HK97,1.30E-22,88.9,11,149,1,0,1,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_435675.1,TC-Lam,TC-Lam,1.4,16.8,1,122,0,1,1,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_436740.1,TC-Lam,TC-Lam,0.097,20.6,12,209,1,0,1,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_436740.1,TC-TPSY,TC-TPSY,0.00000000061,47.4,8,213,0,0,0,
,Hahella chejuensis KCTC 2396,0,0,NC_007645,YP_437820.1,TC-Mu,TC-Mu,0.00057,28.1,12,136,0,0,0,
,Xanthomonas oryzae pv. oryzae MAFF 311018,0,0,NC_007705,YP_450627.1,TC-Mu,TC-Mu,2.50E-28,107.1,2,148,0,0,0,
,Xanthomonas phage OP1,Xanthomonas oryzae,neg,NC_007709,YP_453568.1,TC-HK97,TC-HK97,0.00000014,40.6,12,139,0,0,0,
,Sodalis glossinidius str.  morsitans,Glossina morsitans morsitans,0,NC_007712,YP_453784.1,TC-HK97,TC-HK97,0,58.1,1,106,0,1,1,
,Sodalis glossinidius str.  morsitans,Glossina morsitans morsitans,0,NC_007712,YP_454401.1,TC-Sfv,TC-Sfv,0,302.9,5,173,1,0,1,
,Sodalis glossinidius str.  morsitans,Glossina morsitans morsitans,0,NC_007712,YP_454401.1,TC-HK97,TC-HK97,3.3,16.9,17,142,0,0,0,
,Sodalis glossinidius str.  morsitans,Glossina morsitans morsitans,0,NC_007712,YP_454518.1,TC-Mu,TC-Mu,0,57.5,12,138,0,0,0,
,Sodalis glossinidius str.  morsitans,Glossina morsitans morsitans,0,NC_007712,YP_454883.1,TC-Mu,TC-Mu,1.10E-26,101.8,10,145,0,0,0,
,Aster yellows witches -broom phytoplasma AYWB,Lactuca sativa,0,NC_007716,YP_456822.1,TC-ShewanellaB,TC-ShewanellaB,7.60E+00,14.8,9,84,0,0,0,
,Erythrobacter litoralis HTCC2594,0,0,NC_007722,YP_457647.1,TC-JCL103,TC-JCL103,5.80E+00,15.4,93,179,0,0,0,
,Bacillus phage WBeta,Bacillus anthracis,pos,NC_007734,YP_459972.1,TC-HK97,TC-HK97,0,62,13,132,0,0,0,
,Syntrophus aciditrophicus SB,0,0,NC_007759,YP_460593.1,TC-Mu,TC-Mu,2.80E-18,74.6,9,146,0,0,0,
,Rhizobium etli CFN 42,Phaseolus,0,NC_007761,YP_468630.1,TC-HK97,TC-HK97,5.5,16.2,21,100,0,1,1,
,Frankia sp. CcI3,0,0,NC_007777,YP_479813.1,TC-ShewanellaB,TC-ShewanellaB,1.6,17,17,134,1,0,1,
,Frankia sp. CcI3,0,0,NC_007777,YP_479813.1,TC-ShewanellaB,TC-ShewanellaB,1.6,17,313,362,0,0,0,
,Staphylococcus aureus subsp. aureus USA300_FPR3757,0,0,NC_007793,YP_494095.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,1,1,
