,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,75
,Bacillus thuringiensis HD-789,0,0,NC_018508,YP_006611121.1,TR-ListeriaB025,TR-ListeriaB025,0.00036,28.9,1,118,1,0,1,
,Bacillus thuringiensis HD-789,0,0,NC_018508,YP_006611121.1,TR-FL3A,TR-FL3A,0.0000000019,46,2,116,0,0,0,
,Bacillus thuringiensis HD-789,0,0,NC_018508,YP_006611514.1,TR-Bmccartyi,TR-Bmccartyi,0.00000054,38.1,2,108,0,0,0,
,Desulfosporosinus meridiei DSM 13257,0,0,NC_018515,YP_006623031.1,TR-CD38,TR-CD38,4.20E-45,161.7,3,139,0,0,0,
,Desulfosporosinus meridiei DSM 13257,0,0,NC_018515,YP_006623772.1,U_TR_Oligot,U_TR_Oligot,7.7,14.7,121,252,0,0,0,
,Desulfosporosinus meridiei DSM 13257,0,0,NC_018515,YP_006624135.1,TR-SPP1,TR-SPP1,0.21,20.2,2,109,0,1,1,
,Bacillus subtilis QB928,0,0,NC_018520,YP_006628629.1,TR-phi297,TR-phi297,0.91,17.9,13,59,1,1,1,
,Bacillus subtilis QB928,0,0,NC_018520,YP_006628629.1,TR-phi297,TR-phi297,0.91,17.9,34,72,1,1,1,
,Bacillus subtilis QB928,0,0,NC_018520,YP_006628629.1,TR-phi297,TR-phi297,0.91,17.9,52,97,1,0,1,
,Bacillus subtilis QB928,0,0,NC_018520,YP_006628629.1,TR-phi297,TR-phi297,0.91,17.9,93,123,0,0,0,
,Bacillus subtilis QB928,0,0,NC_018520,YP_006629440.1,TR-CD38,TR-CD38,6.3,15.1,7,146,0,0,0,
,Klebsiella pneumoniae subsp. pneumoniae 1084,0,0,NC_018522,YP_006636854.1,TR-PY54,TR-PY54,0,220.1,1,128,0,1,1,
,Nocardiopsis alba ATCC BAA-2165,Apis mellifera,0,NC_018524,YP_006641840.1,TR-Che8,TR-Che8,0.00000063,38,8,131,1,0,1,
,Nocardiopsis alba ATCC BAA-2165,Apis mellifera,0,NC_018524,YP_006641840.1,TR-Giles,TR-Giles,0.037,22.3,24,136,0,1,1,
,Pectobacterium carotovorum subsp. carotovorum PCC21,0,0,NC_018525,YP_006645651.1,TR-P2,TR-P2,4.5,15.5,4,105,1,0,1,
,Pectobacterium carotovorum subsp. carotovorum PCC21,0,0,NC_018525,YP_006645651.1,TR-P2,TR-P2,4.5,15.5,133,178,0,0,0,
,Pectobacterium carotovorum subsp. carotovorum PCC21,0,0,NC_018525,YP_006646243.1,TR-BcepMu,TR-BcepMu,0,177.4,10,154,0,0,0,
,Lactobacillus helveticus R0052,pasture gramineae,0,NC_018528,YP_006656548.1,TR-T4,TR-T4,1.6,16.7,40,158,0,0,0,
,Gordonia sp. KTR9,0,0,NC_018581,YP_006668160.1,TR-Giles,TR-Giles,0,228.5,1,128,0,0,0,
,Listeria monocytogenes ATCC 19117,0,0,NC_018584,YP_006671934.1,TR-MGAS315,TR-MGAS315,0,192.3,3,114,0,0,0,
,Listeria monocytogenes SLCC2378,0,0,NC_018585,YP_006674804.1,TR-MGAS315,TR-MGAS315,0,191.7,18,129,0,0,0,
,Listeria monocytogenes SLCC2540,0,0,NC_018586,YP_006677668.1,TR-MGAS315,TR-MGAS315,0,192.3,3,114,0,0,0,
,Listeria monocytogenes SLCC2540,0,0,NC_018586,YP_006678807.1,TR-ListeriaB025,TR-ListeriaB025,0,178.8,1,127,0,0,0,
,Listeria monocytogenes SLCC2755,0,0,NC_018587,YP_006680579.1,TR-MGAS315,TR-MGAS315,0,191.7,18,129,0,0,0,
,Listeria monocytogenes SLCC2755,0,0,NC_018587,YP_006682180.1,TR-Bmccartyi,TR-Bmccartyi,0,166.1,1,112,0,0,0,
,Listeria monocytogenes SLCC2372,0,0,NC_018588,YP_006683443.1,TR-MGAS315,TR-MGAS315,0,194.5,18,129,0,0,0,
,Listeria monocytogenes SLCC2372,0,0,NC_018588,YP_006684610.1,TR-ListeriaB025,TR-ListeriaB025,0,179.9,1,127,0,0,0,
,Listeria monocytogenes SLCC2479,0,0,NC_018589,YP_006686379.1,TR-MGAS315,TR-MGAS315,0,194.5,18,129,0,0,0,
,Listeria monocytogenes SLCC2479,0,0,NC_018589,YP_006687545.1,TR-ListeriaB025,TR-ListeriaB025,0,179.9,1,127,0,0,0,
,Listeria monocytogenes serotype 7 str. SLCC2482,0,0,NC_018591,YP_006692083.1,TR-MGAS315,TR-MGAS315,0,191.7,18,129,0,0,0,
,Listeria monocytogenes SLCC5850,0,0,NC_018592,YP_006694940.1,TR-MGAS315,TR-MGAS315,0,182.7,18,129,0,0,0,
,Listeria monocytogenes SLCC5850,0,0,NC_018592,YP_006696104.1,TR-ListeriaB025,TR-ListeriaB025,0,178.8,1,127,0,0,0,
,Listeria monocytogenes SLCC7179,0,0,NC_018593,YP_006697808.1,TR-MGAS315,TR-MGAS315,0,193.8,18,129,0,0,0,
,Listeria monocytogenes SLCC7179,0,0,NC_018593,YP_006700214.1,TR-BCJA1C,TR-BCJA1C,3.90E-31,116,1,135,0,0,0,
,Streptococcus pneumoniae SPNA45,0,0,NC_018594,YP_006700564.1,TR-Bmccartyi,TR-Bmccartyi,1.50E-30,113.9,1,109,0,1,1,
,Streptococcus pneumoniae SPNA45,0,0,NC_018594,YP_006700826.1,TR-SPP1,TR-SPP1,0.0019,26.7,6,110,1,0,1,
,Streptococcus pneumoniae SPNA45,0,0,NC_018594,YP_006700826.1,TR-FL3A,TR-FL3A,0.00000000012,49.9,1,118,0,0,0,
,Streptococcus pneumoniae SPNA45,0,0,NC_018594,YP_006701714.1,TR-meningitidis,TR-meningitidis,7.8,14.8,8,83,0,1,1,
,Brachyspira pilosicoli WesB,0,0,NC_018604,YP_006702782.1,TR-Cereus,TR-Cereus,2.9,16.2,2,54,1,0,1,
,Brachyspira pilosicoli WesB,0,0,NC_018604,YP_006702782.1,TR-Cereus,TR-Cereus,2.9,16.2,69,157,0,0,0,
,Brachyspira pilosicoli WesB,0,0,NC_018604,YP_006702890.1,TR-Mu,TR-Mu,3.4,15.7,2,174,0,1,1,
,Brachyspira pilosicoli B2904,0,0,NC_018607,YP_006708596.1,TR-Cereus,TR-Cereus,4.1,15.7,2,54,1,0,1,
,Brachyspira pilosicoli B2904,0,0,NC_018607,YP_006708596.1,TR-Cereus,TR-Cereus,4.1,15.7,69,157,0,0,0,
,Staphylococcus aureus 08BA02176,0,0,NC_018608,YP_006708886.1,TR-T4,TR-T4,0.25,19.4,121,206,0,1,1,
,Staphylococcus aureus 08BA02176,0,0,NC_018608,YP_006709117.1,TR-SPP1,TR-SPP1,0.0011,27.5,7,118,1,0,1,
,Staphylococcus aureus 08BA02176,0,0,NC_018608,YP_006709117.1,TR-ListeriaB025,TR-ListeriaB025,1.70E-23,91.4,1,128,0,1,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006711961.1,TR-phi297,TR-phi297,2,16.8,16,63,1,1,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006711961.1,TR-phi297,TR-phi297,2,16.8,57,103,1,0,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006711961.1,TR-phi297,TR-phi297,2,16.8,98,134,0,0,0,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006712584.1,TR-Lam,TR-Lam,2,16.9,142,205,0,0,0,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006712713.1,TR-SPP1,TR-SPP1,2.1,16.9,2,120,0,0,0,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006712857.1,TR-SPP1,TR-SPP1,2.00E-21,84.8,15,131,0,1,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006712940.1,TR-SPP1,TR-SPP1,0.012,24.2,3,105,1,0,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006712940.1,TR-FL3A,TR-FL3A,0.21,20,1,114,0,0,0,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006713028.1,U_T4-gp15_tss,U_T4-gp15_tss,6.2,14.9,313,383,0,1,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006714896.1,TR-SPP1,TR-SPP1,0.086,21.4,13,115,1,0,1,
,Bacillus licheniformis DSM 13 = ATCC 14580,0,0,NC_006322,YP_006714896.1,TR-ListeriaB025,TR-ListeriaB025,0.019,23.3,8,127,0,0,0,
,Riemerella anatipestifer RA-CH-1,duck,0,NC_018609,YP_006724307.1,TR-T1,TR-T1,7.2,14.7,108,210,0,0,0,
,Lactobacillus buchneri CD034,0,0,NC_018610,YP_006726184.1,TR-Sfi21,TR-Sfi21,2.80E-26,100.4,9,131,0,1,1,
,Chlamydia psittaci 84/55,Amazona sp.,0,NC_018619,YP_006732972.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydia psittaci 84/55,Amazona sp.,0,NC_018619,YP_006732972.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,1,1,
,Chlamydia psittaci GR9,Anas platyrhynchos,0,NC_018620,YP_006734070.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydia psittaci GR9,Anas platyrhynchos,0,NC_018620,YP_006734070.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,1,1,
,Chlamydia psittaci VS225,parakeet,0,NC_018621,YP_006735134.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydia psittaci VS225,parakeet,0,NC_018621,YP_006735134.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,1,1,
,Chlamydia psittaci WS/RT/E30,Anas platyrhynchos,0,NC_018622,YP_006736217.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydia psittaci WS/RT/E30,Anas platyrhynchos,0,NC_018622,YP_006736217.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,1,1,
,Chlamydia psittaci M56,Ondatra zibethicus,0,NC_018623,YP_006737260.1,TR-CD38,TR-CD38,4.7,15.5,96,159,1,0,1,
,Chlamydia psittaci M56,Ondatra zibethicus,0,NC_018623,YP_006737260.1,TR-CD38,TR-CD38,4.7,15.5,221,286,0,1,1,
,Chlamydia psittaci WC,Bos taurus,0,NC_018624,YP_006738306.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydia psittaci WC,Bos taurus,0,NC_018624,YP_006738306.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,1,1,
,Chlamydia psittaci CP3,Columba livia,0,NC_018625,YP_006739374.1,TR-CD38,TR-CD38,4.9,15.5,96,159,1,0,1,
,Chlamydia psittaci CP3,Columba livia,0,NC_018625,YP_006739374.1,TR-CD38,TR-CD38,4.9,15.5,223,286,0,1,1,
,Chlamydia psittaci NJ1,Meleagris gallopavo,0,NC_018626,YP_006740465.1,TR-CD38,TR-CD38,4.3,15.7,96,159,1,0,1,
,Chlamydia psittaci NJ1,Meleagris gallopavo,0,NC_018626,YP_006740465.1,TR-CD38,TR-CD38,4.3,15.7,221,286,0,1,1,
,Chlamydia psittaci MN,Homo sapiens,0,NC_018627,YP_006741504.1,TR-CD38,TR-CD38,4.9,15.5,96,159,1,0,1,
,Chlamydia psittaci MN,Homo sapiens,0,NC_018627,YP_006741504.1,TR-CD38,TR-CD38,4.9,15.5,223,286,0,0,0,
,Streptococcus pneumoniae gamPNI0373,0,0,NC_018630,YP_006742280.1,TR-Bmccartyi,TR-Bmccartyi,2.40E-30,113.3,1,107,0,0,0,
,Lactobacillus casei W56,0,0,NC_018641,YP_006751027.1,TR-SPP1,TR-SPP1,5.2,15.7,7,69,0,0,0,
,Lactobacillus casei W56,0,0,NC_018641,YP_006751151.1,TR-SPP1,TR-SPP1,5.4,15.6,7,68,0,0,0,
,Lactobacillus casei W56,0,0,NC_018641,YP_006751374.1,TR-SPP1,TR-SPP1,0.00000000019,49.4,10,130,0,0,0,
,Listeria monocytogenes L312,0,0,NC_018642,YP_006753251.1,TR-MGAS315,TR-MGAS315,0,191.7,18,129,0,0,0,
,Desulfobacula toluolica Tol2,0,0,NC_018645,YP_006763182.1,TR-Adjutor,TR-Adjutor,8.3,14.2,14,86,0,0,0,
,Streptococcus agalactiae GD201008-001,0,0,NC_018646,YP_006763855.1,TR-Bmccartyi,TR-Bmccartyi,0.00000029,39,1,104,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2050,Homo sapiens,0,NC_018650,YP_006769745.1,TR-Lam,TR-Lam,0,211.6,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2050,Homo sapiens,0,NC_018650,YP_006769942.1,TR-P2,TR-P2,2.60E-33,123.2,1,130,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2050,Homo sapiens,0,NC_018650,YP_006770462.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2050,Homo sapiens,0,NC_018650,YP_006771138.1,TR-Lam,TR-Lam,0,210.3,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2011C-3493,Homo sapiens,0,NC_018658,YP_006778799.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2011C-3493,Homo sapiens,0,NC_018658,YP_006778995.1,TR-P2,TR-P2,2.60E-33,123.2,1,130,0,0,0,
,Escherichia coli O104:H4 str. 2011C-3493,Homo sapiens,0,NC_018658,YP_006779513.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2011C-3493,Homo sapiens,0,NC_018658,YP_006780188.1,TR-Lam,TR-Lam,0,210.3,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2071,Homo sapiens,0,NC_018661,YP_006783871.1,TR-Lam,TR-Lam,0,211.6,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2071,Homo sapiens,0,NC_018661,YP_006784066.1,TR-P2,TR-P2,2.60E-33,123.2,1,130,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2071,Homo sapiens,0,NC_018661,YP_006784588.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2071,Homo sapiens,0,NC_018661,YP_006784755.1,TR-Lam,TR-Lam,0,214.1,1,131,0,0,0,
,Escherichia coli O104:H4 str. 2009EL-2071,Homo sapiens,0,NC_018661,YP_006785331.1,TR-Lam,TR-Lam,0,210.3,1,131,0,0,0,
,Clostridium acidurici 9a,0,0,NC_018664,YP_006788282.1,TR-BCJA1C,TR-BCJA1C,9.6,14.4,2,40,0,0,0,
,Alteromonas macleodii str.  English Channel 673,0,0,NC_018678,YP_006798840.1,TR-DMS3,TR-DMS3,0,59.4,1,114,0,1,1,
,Nocardia brasiliensis ATCC 700358,Homo sapiens,0,NC_018681,YP_006807586.1,U_TR_Oligot,U_TR_Oligot,6.6,14.9,1,41,1,0,1,
,Nocardia brasiliensis ATCC 700358,Homo sapiens,0,NC_018681,YP_006807586.1,U_TR_Oligot,U_TR_Oligot,6.6,14.9,66,137,0,0,0,
,Nocardia brasiliensis ATCC 700358,Homo sapiens,0,NC_018681,YP_006809677.1,TR-Che8,TR-Che8,9.5,14.8,355,465,0,0,0,
,Actinobacillus suis H91-0380,pig,0,NC_018690,YP_006816928.1,TR-Lam,TR-Lam,1.20E-18,75.9,1,138,0,0,0,
,Actinobacillus suis H91-0380,pig,0,NC_018690,YP_006817014.1,TR-Lam,TR-Lam,2.90E-16,68.2,1,132,0,0,0,
,Alteromonas macleodii str.  Black Sea 11,0,0,NC_018692,YP_006825493.1,TR-DMS3,TR-DMS3,2.20E-25,97.8,1,121,0,0,0,
,Bacillus thuringiensis MC28,0,0,NC_018693,YP_006829813.1,TR-Bmccartyi,TR-Bmccartyi,0.0000036,35.4,1,106,0,1,1,
,Bacillus thuringiensis MC28,0,0,NC_018693,YP_006829986.1,TR-SPP1,TR-SPP1,0.013,24.1,7,113,1,1,1,
,Bacillus thuringiensis MC28,0,0,NC_018693,YP_006829986.1,TR-ListeriaB025,TR-ListeriaB025,0.008,24.5,3,117,1,0,1,
,Bacillus thuringiensis MC28,0,0,NC_018693,YP_006829986.1,TR-FL3A,TR-FL3A,0.99,17.9,8,111,0,0,0,
,Bacillus thuringiensis MC28,0,0,NC_018693,YP_006832020.1,TR-Bmccartyi,TR-Bmccartyi,0.00008,31.1,2,107,0,0,0,
,Sinorhizobium meliloti Rm41,0,0,NC_018700,YP_006839636.1,TR-T1,TR-T1,2.20E-25,97.2,8,139,0,0,0,
,Sinorhizobium meliloti Rm41,0,0,NC_018700,YP_006840674.1,TR-T1,TR-T1,3.30E-36,132.2,8,134,0,0,0,
,Amphibacillus xylanus NBRC 15112,0,0,NC_018704,YP_006844112.1,TR-Bmccartyi,TR-Bmccartyi,0.0000016,36.6,1,102,0,0,0,
,Amphibacillus xylanus NBRC 15112,0,0,NC_018704,YP_006845030.1,TR-Sfi21,TR-Sfi21,0.03,22.8,7,83,0,0,0,
,Acinetobacter baumannii TYTH-1,0,0,NC_018706,YP_006847702.1,TR-T1,TR-T1,0.0016,26.5,22,121,0,1,1,
,Acinetobacter baumannii TYTH-1,0,0,NC_018706,YP_006847764.1,TR-SPP1,TR-SPP1,0,51.7,5,117,1,0,1,
,Acinetobacter baumannii TYTH-1,0,0,NC_018706,YP_006847764.1,TR-Che8,TR-Che8,0.0057,25.2,12,117,0,1,1,
,Acinetobacter baumannii TYTH-1,0,0,NC_018706,YP_006849220.1,TR-SPP1,TR-SPP1,0.071,21.7,2,113,1,0,1,
,Acinetobacter baumannii TYTH-1,0,0,NC_018706,YP_006849220.1,TR-Che8,TR-Che8,4.4,15.9,3,108,0,0,0,
,Acidovorax sp. KKS102,0,0,NC_018708,YP_006855986.1,TR-DMS3,TR-DMS3,1.00E-25,98.9,1,116,0,1,1,
,Psychroflexus torquis ATCC 700755,0,0,NC_018721,YP_006865878.1,TR-MGAS315,TR-MGAS315,6.5,15.1,10,102,1,0,1,
,Psychroflexus torquis ATCC 700755,0,0,NC_018721,YP_006865878.1,TR-MGAS315,TR-MGAS315,6.5,15.1,342,416,0,0,0,
,Borrelia garinii NMJW1,Ixodes persulcatus,0,NC_018747,YP_006870988.1,TR-CD38,TR-CD38,8.6,14.7,5,68,0,0,0,
,Emticicia oligotrophica DSM 17448,0,0,NC_018748,YP_006873732.1,TR-ListeriaB025,TR-ListeriaB025,5.3,15.4,20,96,0,0,0,
,Streptomyces venezuelae ATCC 10712,0,0,NC_018750,YP_006876283.1,U_TR_Oligot,U_TR_Oligot,9.1,14.5,2,62,0,0,0,
,Streptomyces venezuelae ATCC 10712,0,0,NC_018750,YP_006877696.1,TR-Che8,TR-Che8,3.60E-25,97,8,132,0,0,0,
,Streptomyces venezuelae ATCC 10712,0,0,NC_018750,YP_006878415.1,TR-SPP1,TR-SPP1,0,61.8,16,137,0,0,0,
,Streptomyces venezuelae ATCC 10712,0,0,NC_018750,YP_006879910.1,TR-Che8,TR-Che8,3.60E-27,103.4,10,135,0,0,0,
,Bordetella parapertussis Bpp5,0,0,NC_018828,YP_006896040.1,TR-T1,TR-T1,4.60E-37,135,5,133,0,0,0,
,Bordetella bronchiseptica MO149,0,0,NC_018829,YP_006902753.1,TR-Che8,TR-Che8,9,14.9,4,112,0,0,0,
,Streptococcus dysgalactiae subsp. equisimilis AC-2713,0,0,NC_019042,YP_006904924.1,TR-Bmccartyi,TR-Bmccartyi,0.000000047,41.5,1,105,0,0,0,
,Streptococcus dysgalactiae subsp. equisimilis AC-2713,0,0,NC_019042,YP_006905057.1,TR-Bmccartyi,TR-Bmccartyi,0.000000047,41.5,1,105,0,1,1,
,Propionibacterium phage P9.1,Propionibacterium acnes,pos,NC_018834,YP_006906036.1,TR-Che8,TR-Che8,6.8,15.2,14,112,1,0,1,
,Propionibacterium phage P9.1,Propionibacterium acnes,pos,NC_018834,YP_006906036.1,TR-PA6,TR-PA6,0,270.6,1,123,0,0,0,
,Streptomyces phage phiHau3,Streptomyces coelicolor A3(2),pos,NC_018836,YP_006906193.1,TR-Che8,TR-Che8,1.30E-20,82.3,16,157,0,1,1,
,Propionibacterium phage P100_A,Propionibacterium acnes,pos,NC_018838,YP_006906411.1,TR-Che8,TR-Che8,9.2,14.8,14,109,1,0,1,
,Propionibacterium phage P100_A,Propionibacterium acnes,pos,NC_018838,YP_006906411.1,TR-PA6,TR-PA6,0,267.7,1,123,0,0,0,
,Propionibacterium phage P14.4,Propionibacterium acnes,pos,NC_018839,YP_006906456.1,TR-PA6,TR-PA6,0,240.6,1,110,0,0,0,
,Propionibacterium phage P100_1,Propionibacterium acnes,pos,NC_018840,YP_006906503.1,TR-PA6,TR-PA6,0,280.6,1,123,0,0,0,
,Propionibacterium phage P101A,Propionibacterium acnes,pos,NC_018841,YP_006906550.1,TR-PA6,TR-PA6,0,280.6,1,123,0,0,0,
,Propionibacterium phage P1.1,Propionibacterium acnes,pos,NC_018842,YP_006906597.1,TR-PA6,TR-PA6,0,279.7,1,123,0,1,1,
,Propionibacterium phage P104A,Propionibacterium acnes,pos,NC_018845,YP_006906782.1,TR-Che8,TR-Che8,4.5,15.8,19,115,1,0,1,
,Propionibacterium phage P104A,Propionibacterium acnes,pos,NC_018845,YP_006906782.1,TR-PA6,TR-PA6,0,268.2,1,123,0,1,1,
,Propionibacterium phage ATCC29399B_T,Propionibacterium acnes,pos,NC_018847,YP_006906906.1,TR-Che8,TR-Che8,5.4,15.6,14,115,1,0,1,
,Propionibacterium phage ATCC29399B_T,Propionibacterium acnes,pos,NC_018847,YP_006906906.1,TR-PA6,TR-PA6,0,265.6,1,123,0,0,0,
,Propionibacterium phage P105,Propionibacterium acnes,pos,NC_018849,YP_006907007.1,TR-PA6,TR-PA6,0,275.8,1,123,0,1,1,
,Propionibacterium phage ATCC29399B_C,Propionibacterium acnes,pos,NC_018851,YP_006907093.1,TR-Che8,TR-Che8,4.9,15.7,14,111,1,0,1,
,Propionibacterium phage ATCC29399B_C,Propionibacterium acnes,pos,NC_018851,YP_006907093.1,TR-PA6,TR-PA6,0,274.9,1,123,0,1,1,
,Propionibacterium phage P100D,Propionibacterium acnes,pos,NC_018852,YP_006907139.1,TR-Che8,TR-Che8,3.7,16.1,12,111,1,0,1,
,Propionibacterium phage P100D,Propionibacterium acnes,pos,NC_018852,YP_006907139.1,TR-PA6,TR-PA6,0,267.3,1,123,0,0,0,
,Bacillus phage Bastille,Bacillus cereus HER1399,pos,NC_018856,YP_006907313.1,TR-SPO1,TR-SPO1,0,320,1,291,0,0,0,
,Bacillus phage BPS13,Bacillus cereus,pos,NC_018857,YP_006907815.1,TR-SPO1,TR-SPO1,0,349.7,1,290,0,0,0,
,Bacillus phage BCP78,Bacillus cereus,pos,NC_018860,YP_006908051.1,TR-SPO1,TR-SPO1,0,374.9,1,284,0,1,1,
,Bacillus phage B4,Bacillus cereus,pos,NC_018863,YP_006908456.1,TR-SPO1,TR-SPO1,3.8,15.3,3,74,1,0,1,
,Bacillus phage B4,Bacillus cereus,pos,NC_018863,YP_006908456.1,TR-SPO1,TR-SPO1,3.8,15.3,96,177,0,0,0,
,Bacillus phage B4,Bacillus cereus,pos,NC_018863,YP_006908490.1,TR-SPO1,TR-SPO1,0,304.4,1,291,0,1,1,
,Simiduia agarivorans SA1 = DSM 21679,0,0,NC_018868,YP_006918607.1,TR-SPP1,TR-SPP1,9.9,14.8,71,138,1,0,1,
,Simiduia agarivorans SA1 = DSM 21679,0,0,NC_018868,YP_006918607.1,TR-SPP1,TR-SPP1,9.9,14.8,605,662,0,1,1,
,Thermacetogenium phaeum DSM 12270,0,0,NC_018870,YP_006920999.1,TR-SPP1,TR-SPP1,3.6,16.2,2,106,1,0,1,
,Thermacetogenium phaeum DSM 12270,0,0,NC_018870,YP_006920999.1,TR-Bmccartyi,TR-Bmccartyi,0,179.9,1,113,0,0,0,
,Bacillus thuringiensis Bt407,0,0,NC_018877,YP_006926589.1,TR-ListeriaB025,TR-ListeriaB025,0.57,18.5,9,116,0,0,0,
,Bacillus thuringiensis Bt407,0,0,NC_018877,YP_006927336.1,TR-Cereus,TR-Cereus,0,247.9,1,126,0,1,1,
,Bacillus thuringiensis Bt407,0,0,NC_018877,YP_006927349.1,TR-ListeriaB025,TR-ListeriaB025,3.4,16,1,64,1,0,1,
,Bacillus thuringiensis Bt407,0,0,NC_018877,YP_006927349.1,TR-ListeriaB025,TR-ListeriaB025,3.4,16,115,181,0,0,0,
,Bacillus thuringiensis Bt407,0,0,NC_018877,YP_006928507.1,TR-Bmccartyi,TR-Bmccartyi,0.0000019,36.3,2,108,0,1,1,
,Streptococcus pyogenes A20,0,0,NC_018936,YP_006933082.1,TR-SPP1,TR-SPP1,0.16,20.6,10,130,1,0,1,
,Streptococcus pyogenes A20,0,0,NC_018936,YP_006933082.1,TR-MGAS315,TR-MGAS315,9.40E-23,88.7,19,136,0,0,0,
,Streptococcus pyogenes A20,0,0,NC_018936,YP_006933252.1,TR-Che8,TR-Che8,0.0039,25.7,1,110,0,0,0,
,Streptococcus pyogenes A20,0,0,NC_018936,YP_006933500.1,TR-SPP1,TR-SPP1,2.4,16.8,8,114,0,0,0,
,Bordetella bronchiseptica 253,0,0,NC_019382,YP_006966121.1,TR-T1,TR-T1,4.60E-37,135,5,133,0,1,1,
,Chlamydia psittaci 01DC12,0,0,NC_019391,YP_006974260.1,TR-CD38,TR-CD38,4.9,15.5,96,159,1,0,1,
,Chlamydia psittaci 01DC12,0,0,NC_019391,YP_006974260.1,TR-CD38,TR-CD38,4.9,15.5,223,286,0,1,1,
,Cronobacter phage vB_CsaM_GAP161,Cronobacter sakazakii,neg,NC_019398,YP_006986479.1,TR-T4,TR-T4,0,271.3,1,203,1,0,1,
,Cronobacter phage vB_CsaM_GAP161,Cronobacter sakazakii,neg,NC_019398,YP_006986479.1,U_T4-gp15_tss,U_T4-gp15_tss,0,316,1,234,0,1,1,
,Enterobacteria phage vB_EcoM_ACG-C40,Escherichia coli,neg,NC_019399,YP_006986716.1,TR-T4,TR-T4,0,238.3,1,201,1,0,1,
,Enterobacteria phage vB_EcoM_ACG-C40,Escherichia coli,neg,NC_019399,YP_006986716.1,U_T4-gp15_tss,U_T4-gp15_tss,0,477.2,1,234,0,1,1,
,Cronobacter phage vB_CsaM_GAP32,Cronobacter sakazakii,neg,NC_019401,YP_006987332.1,TR-T4,TR-T4,0,66,1,207,1,0,1,
,Cronobacter phage vB_CsaM_GAP32,Cronobacter sakazakii,neg,NC_019401,YP_006987332.1,U_T4-gp15_tss,U_T4-gp15_tss,0.000068,31.1,1,243,0,0,0,
,Enterobacteria phage vB_EcoS_ACG-M12,0,neg,NC_019404,YP_006987843.1,TR-T1,TR-T1,8.70E-26,98.5,6,129,0,0,0,
,Caulobacter phage phiCbK,Caulobacter crescentus,neg,NC_019405,YP_006987987.1,TR-T1,TR-T1,0.33,19,6,125,0,0,0,
,Caulobacter phage CcrColossus,Caulobacter crescentus,neg,NC_019406,YP_006988348.1,TR-T1,TR-T1,9.4,14.4,2,126,0,0,0,
,Caulobacter phage CcrMagneto,Caulobacter crescentus,neg,NC_019407,YP_006988770.1,TR-T1,TR-T1,0.34,19,6,125,0,0,0,
,Caulobacter phage CcrKarma,Caulobacter crescentus,neg,NC_019410,YP_006989472.1,TR-T1,TR-T1,0.19,19.8,6,131,0,0,0,
,Caulobacter phage CcrSwift,Caulobacter crescentus,neg,NC_019411,YP_006989820.1,TR-T1,TR-T1,0.19,19.8,6,131,0,0,0,
